parentTconst,seasonNumber,episodeNumber,averageRating,numVotes
tt0806910,1.0,298.0,6.0,29.0
tt12749392,2.0,1.0,7.8,2970.0
tt12749392,2.0,2.0,7.8,2914.0
tt12749392,2.0,3.0,7.6,2522.0
tt0092455,7.0,25.0,9.1,9735.0
tt0806910,1.0,300.0,5.9,93.0
tt0806910,1.0,286.0,6.6,96.0
tt0806910,1.0,289.0,5.4,40.0
tt0806910,1.0,299.0,6.5,43.0
tt0806910,1.0,288.0,6.6,61.0
tt0806910,1.0,296.0,5.6,51.0
tt0806910,1.0,297.0,5.9,28.0
tt0806910,1.0,293.0,6.2,54.0
tt0806910,1.0,291.0,6.0,53.0
tt0806910,1.0,290.0,5.9,68.0
tt0112111,1.0,12.0,7.7,752.0
tt0159876,24.0,10.0,9.2,2464.0
tt0159876,24.0,3.0,8.5,70.0
tt0806910,1.0,303.0,5.4,37.0
tt0159876,23.0,7.0,8.6,186.0
tt12749392,3.0,2.0,7.8,2401.0
tt12749392,3.0,1.0,7.3,2493.0
tt12749392,3.0,3.0,7.8,2435.0
tt0112178,1.0,1.0,7.4,4608.0
tt0806910,1.0,319.0,5.8,63.0
tt0806910,1.0,318.0,6.8,68.0
tt0806910,1.0,304.0,7.1,40.0
tt0806910,1.0,308.0,5.7,56.0
tt0806910,1.0,302.0,6.5,64.0
tt0806910,1.0,320.0,4.5,35.0
tt0806910,1.0,322.0,7.7,275.0
tt0806910,1.0,307.0,6.1,72.0
tt0806910,1.0,301.0,6.4,51.0
tt0094416,9.0,8.0,7.5,183.0
tt0094416,8.0,7.0,7.7,1484.0
tt0364151,11.0,2.0,8.1,97.0
tt0159876,25.0,13.0,7.4,162.0
tt0364151,11.0,1.0,8.1,110.0
tt0159876,,,8.9,135.0
tt0094416,10.0,3.0,7.4,113.0
tt12749392,4.0,3.0,7.7,2183.0
tt12749392,4.0,1.0,7.8,2314.0
tt12749392,4.0,2.0,7.8,2245.0
tt0806910,1.0,337.0,5.3,56.0
tt0806910,1.0,329.0,5.2,59.0
tt0806910,1.0,342.0,5.8,66.0
tt0806910,1.0,321.0,6.4,50.0
tt0806910,1.0,344.0,4.8,32.0
tt0806910,1.0,330.0,6.5,67.0
tt0806910,1.0,347.0,5.3,32.0
tt0806910,1.0,323.0,5.9,67.0
tt0806910,1.0,343.0,7.4,105.0
tt0806910,1.0,331.0,6.7,57.0
tt0806910,1.0,336.0,4.3,44.0
tt0806910,1.0,325.0,6.5,33.0
tt0806910,1.0,324.0,6.3,70.0
tt0806910,1.0,333.0,5.9,28.0
tt0806910,1.0,346.0,4.7,37.0
tt0806910,1.0,334.0,6.5,57.0
